term,estimate,std.error,statistic,p.value,conf.low,conf.high
(Intercept),-1.1314896909239494,1.6056347628985341,-0.7046992984141389,0.4809973880460536,-4.389165716224701,1.9604173851472635
age,0.036823509524954584,0.02148190664565347,1.714163930248959,0.08649862327823904,-0.004076652208690412,0.0811415460865024
genderM,0.4161394760333916,0.7655851137424887,0.5435574289044546,0.5867460614788728,-1.1401779379773413,1.9077297241419064
responseExcellent,-4.6795023785764815,1.1263792264703414,-4.154464383403378,3.260503973212402e-5,-7.670005597419959,-2.8160489693395268
responseIndeterminate,-2.525459817901024,0.7448990877649073,-3.39033818054301,6.980645250708583e-4,-4.109979901951292,-1.1407089070736727
responseStructural Incomplete,2.946620642208949,0.9271599671107301,3.1781146153143127,0.0014823613904187472,1.2871000893328182,5.051287372390355
adenopathyExtensive,14.078675058895188,1565.1421389488276,0.008995141532864634,0.9928230122335768,-88.3814931240068,NA
adenopathyLeft,1.3204334849851316,1.4781574748703006,0.8932968965982407,0.3716981994884657,-1.6142696608795855,4.26599562270453
adenopathyNo,-0.9715588725555929,1.0316503389466054,-0.9417520994057245,0.3463195744145354,-3.0504568661266367,1.0373445141658717
adenopathyPosterior,14.061437531647611,2779.685925515982,0.005058642561942476,0.9959638044154963,-352.9669135527575,NA
adenopathyRight,0.5146282241860821,1.2079866291834778,0.4260214573185616,0.6700922106989624,-1.8696327391233218,2.9331460132768115
